age,annual_income,spending_score,membership_years,purchase_frequency,last_purchase_amount
32,80694,53,1.5,9,44.81
25,26624,32,0.3,17,60.43
31,18597,96,4.9,8,325.81
40,15000,92,7.4,12,67.73
57,67710,48,4.2,12,110.5
38,54750,39,5.2,8,155.19
33,36774,40,0.7,14,118.1
62,16914,42,0.9,14,46.81
35,32395,77,0.7,10,52.42
64,49141,76,4.3,11,138.82
70,78897,8,8.9,10,138.55
41,48536,79,3.8,7,221.82
43,57024,26,6.4,15,105.78
42,39117,12,3.1,13,111.71
62,140019,43,1.5,7,31.96
58,26610,51,1.7,14,27.18
46,32223,91,0.2,7,139.32
32,36482,82,0.1,13,27.41
62,67888,100,3.6,10,53.26
18,26283,63,1.7,8,285.67
42,53179,49,2.4,11,236.2
24,54119,27,2.4,10,78.43
26,32318,9,1.0,16,38.27
41,59753,39,1.9,10,47.08
18,26777,65,1.9,6,154.65
61,25078,71,1.5,11,52.26
25,52039,90,5.2,9,27.94
41,18108,71,1.8,7,234.85
28,15000,7,2.8,9,67.89
68,67487,72,6.8,17,27.31
34,91985,80,6.0,11,97.0
25,37046,67,6.6,18,175.12
52,32831,10,0.9,11,16.29
52,89618,71,0.1,10,42.93
50,24653,85,0.9,9,40.61
22,21633,53,1.0,20,93.95
59,74950,95,7.2,9,116.56
56,49287,87,3.1,10,28.17
58,92867,57,0.3,17,10.0
45,15000,91,0.4,5,188.32
24,21154,86,0.5,13,14.24
26,49444,27,3.0,12,75.6
25,62981,54,4.0,16,46.6
29,81486,4,5.9,16,66.35
51,54441,88,8.5,14,396.03
50,54111,23,0.7,7,2000.0
65,38807,48,1.1,9,10.0
40,127330,83,0.8,10,177.8
41,25290,42,1.3,9,45.26
54,60804,3,7.4,11,191.99
52,27100,91,2.6,5,172.21
61,67566,3,4.0,15,296.4
57,26312,28,2.0,16,76.86
39,76595,63,0.1,22,18.77
44,52431,81,0.2,12,166.2
52,139634,31,2.3,10,62.9
18,41414,10,3.8,13,41.24
52,63258,49,0.7,12,30.83
54,30705,86,3.8,11,182.66
64,41244,94,5.0,19,373.92
31,52231,21,1.6,10,13.01
20,19607,100,4.1,15,115.16
18,20940,53,1.6,6,34.92
22,70257,87,3.4,12,10.0
43,44906,76,4.3,20,65.19
31,34346,89,14.5,14,20.09
56,31502,54,1.3,9,10.0
44,32238,57,1.6,12,21.37
26,52445,20,0.5,10,15.91
32,64024,49,0.7,12,25.13
32,15000,7,3.5,8,11.12
43,114427,29,7.5,10,33.98
59,109646,48,1.5,10,23.2
30,15000,93,0.6,19,85.69
68,94047,13,1.0,8,111.3
49,92330,3,1.8,7,74.6
56,49033,2,1.0,12,41.16
66,22509,16,0.8,5,39.85
69,90141,94,4.0,17,20.0
49,42415,6,0.0,11,20.58
21,68140,45,2.3,13,127.02
47,185631,71,4.7,8,10.0
54,57016,5,0.9,7,49.56
40,28278,56,2.8,11,37.03
56,40077,71,3.3,13,112.05
62,30525,98,3.2,11,10.0
32,63582,32,1.8,8,55.42
60,30223,49,1.3,11,82.4
46,36911,13,5.4,15,10.0
53,22682,30,4.3,13,15.04
30,45285,25,1.2,14,48.9
49,54505,85,0.3,13,101.19
24,15000,60,0.2,13,67.97
68,57282,59,0.3,11,106.97
39,47694,85,2.6,11,14.95
45,30977,28,0.2,11,10.0
19,165574,58,1.2,15,60.43
59,87123,20,4.2,5,12.49
62,25391,34,1.0,9,19.33
70,81059,5,4.3,11,167.12
23,103435,82,4.1,12,68.51
45,53061,60,0.8,16,27.61
45,60892,43,3.9,11,23.63
61,60054,57,4.1,12,115.02
61,15000,57,1.5,12,70.41
37,43821,75,0.7,11,12.71
47,42474,54,2.2,12,10.0
28,115623,81,7.6,14,522.26
45,59888,45,3.1,15,12.59
42,41004,86,0.6,11,102.85
56,46440,37,3.4,14,334.57
50,90583,84,1.7,10,65.18
18,43881,48,2.7,14,26.56
44,32243,54,4.0,13,10.0
69,41546,48,2.2,12,10.0
30,86199,6,5.0,17,85.8
58,66019,34,3.8,13,311.43
20,50340,63,2.9,9,33.97
56,54990,78,0.5,12,28.03
23,35036,48,5.4,10,126.09
25,43635,23,8.2,12,23.97
44,32925,84,0.4,11,75.9
26,41074,13,2.0,16,57.41
54,109941,47,0.9,12,33.4
50,25675,44,4.2,14,53.59
68,32427,32,3.8,12,452.95
59,23096,26,0.5,15,112.78
61,20281,53,6.3,12,202.55
41,43823,14,0.6,11,18.13
32,33841,52,4.8,16,203.39
49,141070,36,1.8,16,117.55
49,41369,8,1.2,8,10.0
41,106259,40,0.5,7,104.35
58,87623,86,0.6,17,29.49
69,43244,22,3.3,11,10.0
66,173873,16,2.4,13,63.8
66,57590,91,0.4,9,104.26
69,121516,60,0.4,13,65.49
29,113318,60,0.2,10,47.9
56,62867,10,4.1,16,36.72
19,76932,25,3.7,11,1053.53
20,71285,31,0.2,11,13.21
66,24672,21,2.5,7,155.63
54,50735,91,0.3,12,55.62
66,93390,81,7.0,9,19.58
34,122481,33,7.1,6,51.52
66,31812,31,3.6,7,10.26
19,67325,90,7.8,11,26.72
19,53665,21,5.0,7,51.61
45,45673,36,5.3,11,10.0
40,60694,65,2.5,12,100.25
54,55870,4,1.1,9,17.18
49,67835,68,0.7,11,10.0
50,116428,90,1.2,14,14.93
18,78470,4,3.0,15,743.33
36,59062,9,0.6,10,10.0
19,150057,30,0.9,12,92.14
70,95411,45,1.9,12,22.15
61,46377,4,0.8,11,35.87
43,23617,69,2.7,11,112.7
49,27100,23,7.7,10,106.25
23,85814,16,4.1,14,24.12
49,33584,22,3.3,5,10.7
21,26773,72,2.6,14,115.19
28,31105,48,2.0,13,105.94
34,32453,62,0.6,11,38.79
55,81665,97,6.8,10,92.79
41,44620,60,0.9,14,31.98
22,21516,80,0.3,10,20.24
69,49942,5,4.2,14,54.86
51,56014,80,0.6,14,101.78
23,36768,7,1.4,9,79.13
39,98079,51,0.1,8,100.58
28,38079,65,0.4,9,21.92
65,95320,9,0.6,14,364.4
33,70127,82,0.2,17,36.2
50,85473,45,3.2,10,47.34
26,25358,47,5.4,11,11.22
23,51999,67,1.4,9,43.27
33,47491,24,6.2,13,103.41
46,20885,92,0.7,14,136.32
20,95133,10,1.2,17,355.79
37,30018,73,0.5,4,101.93
53,34004,77,2.9,13,76.12
36,26689,48,1.6,12,31.96
43,74660,35,2.9,10,24.68
20,19622,54,4.3,5,174.91
36,71020,87,2.4,14,170.94
37,91739,81,3.0,13,14.99
49,67663,71,8.2,7,130.02
24,75175,16,1.1,11,119.16
69,77321,53,1.3,8,14.35
58,27732,40,3.8,15,104.43
50,115941,100,2.8,8,15.5
57,37195,20,0.6,15,10.0
56,47106,88,1.4,7,45.05
35,40151,69,1.9,10,74.39
57,65836,45,1.6,8,47.56
18,35496,6,0.6,13,1703.65
28,51029,92,7.7,10,86.02
45,23360,69,4.3,7,65.14
42,98597,49,2.0,7,91.42
67,73309,39,3.4,8,32.15
40,41136,2,6.8,14,166.56
48,36993,39,0.4,16,84.2
47,72169,21,0.9,8,79.69
59,32068,40,2.3,15,25.82
52,52850,82,4.8,11,10.0
24,98404,54,0.1,12,29.91
33,30129,12,12.4,14,76.64
43,61154,81,1.8,8,32.02
65,59244,37,1.3,13,77.48
69,46239,38,1.0,14,41.31
66,36233,15,0.6,8,91.53
19,101608,7,4.7,20,16.91
18,34250,78,9.3,6,68.82
65,16527,50,1.6,16,25.3
29,71992,65,9.1,16,10.0
22,23842,67,5.2,18,44.78
54,74245,44,2.0,11,345.01
49,109200,31,3.4,16,10.0
26,71528,43,1.7,8,63.01
58,93232,77,2.5,13,142.18
52,164724,48,0.2,11,862.67
36,87557,82,3.6,12,30.22
65,59775,81,0.2,12,25.57
33,130661,81,5.1,10,13.46
20,140486,61,5.2,12,214.57
37,141671,75,0.8,14,19.28
41,36487,84,1.2,9,35.0
50,21754,10,2.0,15,10.0
41,35174,29,2.7,9,157.71
69,74770,48,1.0,13,219.18
28,53932,98,2.7,7,150.65
66,43308,81,1.1,15,10.0
25,68616,62,0.2,10,113.13
53,20282,13,0.0,15,10.0
55,53353,44,0.3,11,58.54
57,95901,47,4.7,13,69.83
37,68158,64,9.8,12,79.22
52,74242,91,1.7,20,103.71
65,127825,53,2.2,8,54.07
42,47113,90,0.5,8,10.0
52,33128,92,2.4,10,103.77
42,100078,77,0.5,10,61.38
46,98979,76,2.8,19,18.48
35,68526,44,8.1,10,10.0
63,44523,28,0.7,14,346.55
35,49061,2,4.3,16,239.26
19,22786,57,0.1,14,127.38
52,95584,57,1.4,5,24.25
33,93581,34,0.4,21,10.0
58,22314,87,1.3,11,136.68
53,82502,58,0.6,12,84.78
50,62471,52,1.4,9,34.83
21,26550,29,1.6,7,210.56
50,23775,35,1.1,11,151.05
31,61334,75,3.2,16,67.45
38,38614,48,7.5,15,56.94
65,146088,33,1.5,5,58.04
37,86817,75,0.6,10,123.46
25,65134,73,0.9,9,19.51
24,67093,78,5.8,13,91.03
20,108936,9,2.5,13,18.09
34,81463,48,1.8,9,271.47
50,66161,67,0.5,13,103.39
65,27223,93,1.8,11,23.91
29,200000,83,1.0,19,60.14
68,25288,36,8.6,15,19.6
39,40638,96,6.5,11,331.93
39,18163,71,0.3,11,382.78
63,67729,92,2.2,11,125.9
47,53673,44,0.8,14,353.54
55,77587,82,1.6,10,65.51
55,17267,60,6.3,8,136.49
62,95582,63,2.2,8,237.38
68,30198,5,1.2,14,54.22
25,44828,87,0.7,17,59.46
44,85728,86,4.8,9,167.4
44,57340,90,2.9,12,118.6
51,59824,76,1.9,13,22.05
38,79182,40,0.7,11,10.0
47,63403,19,1.2,13,44.23
50,39948,47,9.6,11,10.0
45,44361,65,2.2,12,16.62
64,55666,67,1.5,11,19.12
50,28643,91,2.2,17,27.59
22,89108,18,4.5,13,146.13
65,58290,50,1.2,13,189.66
36,51270,30,0.6,12,100.53
21,100257,66,2.6,8,116.63
52,45612,5,3.3,15,119.98
66,43938,93,3.7,17,10.0
34,36651,97,6.4,12,55.27
61,60224,42,1.4,12,10.0
45,58986,84,0.2,7,100.58
47,32867,94,9.5,14,10.0
46,44063,5,1.7,15,43.97
63,32999,50,2.9,13,105.35
70,32115,85,3.3,12,14.28
23,17362,58,2.4,6,173.13
52,42678,79,0.7,12,100.28
58,17653,84,4.2,16,86.23
54,37134,8,4.9,14,126.17
41,33941,31,2.4,9,35.48
46,92146,12,2.0,6,65.52
66,26663,21,0.4,10,55.26
63,31047,94,0.3,9,53.78
70,38990,62,1.2,12,24.38
48,34610,91,1.1,4,12.29
52,111474,90,9.2,11,36.44
50,24756,33,4.6,14,34.11
69,39040,26,3.2,10,22.55
38,59828,90,2.2,12,151.78
49,83175,100,0.5,10,13.37
40,39020,40,11.5,12,44.44
50,15508,65,1.4,16,221.32
20,44798,59,0.3,12,162.55
35,110328,15,2.0,7,234.99
42,58064,1,6.2,15,26.87
59,56491,11,6.5,7,139.93
48,25904,55,0.0,14,15.25
20,24357,2,6.5,8,39.21
57,49554,65,1.0,8,43.9
63,20830,95,0.1,14,27.36
41,78340,44,5.6,7,35.37
67,29496,16,6.0,10,30.2
49,48300,22,2.7,15,16.8
64,15812,18,2.6,14,152.58
39,38704,47,5.0,15,43.86
40,24064,81,4.6,8,69.53
19,15000,30,6.6,10,66.46
44,67853,10,2.4,5,58.3
59,131228,99,10.3,14,61.03
19,96537,58,15.0,10,37.85
43,73792,62,0.4,7,299.49
34,38235,85,5.7,10,136.03
57,79501,80,2.1,16,55.82
50,102161,6,1.5,18,31.93
26,53214,67,2.8,18,47.34
60,24085,41,0.2,13,90.12
65,36328,43,2.1,15,330.28
56,136164,85,6.1,12,10.51
46,46870,77,0.7,11,120.51
59,15000,18,1.7,13,211.04
43,20305,58,8.4,11,10.0
52,37999,60,1.7,7,43.93
67,91262,88,1.3,18,15.22
42,41611,27,1.7,10,91.53
41,92287,68,2.2,13,35.52
30,35749,22,3.0,12,46.7
24,15084,24,4.8,16,33.34
53,36499,40,1.8,9,129.57
62,60292,74,5.1,8,71.87
37,57363,66,2.3,10,72.03
18,23084,40,1.2,20,66.2
25,39706,6,3.2,15,108.53
63,200000,18,3.8,11,39.87
33,23389,81,2.4,7,420.28
31,72870,87,0.2,11,12.41
29,15000,30,0.6,9,10.0
68,82312,21,1.0,14,10.0
40,28698,62,1.0,8,10.0
32,62395,10,3.4,13,122.46
45,22585,13,0.1,7,105.81
51,58367,76,4.2,14,232.6
19,28418,9,0.9,12,15.36
49,31919,68,1.1,12,133.56
40,63907,39,2.3,14,58.45
39,37864,24,0.7,12,66.68
68,61588,34,6.5,16,115.67
42,43717,61,0.3,9,22.03
39,51046,41,1.8,10,1217.68
39,64026,5,5.7,10,269.96
66,39735,79,2.9,4,28.85
69,26967,50,1.0,10,14.75
59,35618,4,1.6,6,49.13
23,100416,51,3.7,12,67.95
32,52559,52,10.9,18,196.12
60,29527,39,6.7,9,13.43
54,62376,8,1.3,12,76.91
50,64925,45,15.0,11,10.0
25,66969,88,0.0,18,92.17
70,27263,28,0.1,12,47.99
61,32551,27,5.2,8,557.81
61,32659,65,0.7,10,10.0
22,39482,34,0.2,15,282.8
56,67734,81,0.8,9,10.0
21,58554,62,1.7,13,11.1
23,61397,62,3.9,11,10.0
62,110460,38,2.9,13,73.73
49,74112,26,0.8,13,13.35
69,45022,24,2.1,15,10.83
47,24092,39,7.8,10,69.64
64,31929,21,5.1,9,93.89
52,41897,94,1.2,12,57.27
57,80618,47,12.1,7,44.94
69,48223,48,3.7,17,490.14
33,33066,13,0.2,13,65.04
30,31579,3,0.1,7,143.57
67,47016,32,0.6,12,64.81
59,83616,35,3.9,11,14.62
47,127339,19,0.6,9,105.62
36,43327,14,2.1,9,24.85
34,47722,48,0.3,12,48.95
36,23662,86,7.6,9,78.77
45,156923,81,1.3,9,10.0
43,21150,68,7.2,20,10.0
54,99012,45,8.7,11,162.61
43,39371,19,0.0,14,24.62
70,34213,64,1.9,17,26.06
40,25184,66,0.1,12,66.67
26,200000,79,7.2,19,34.37
29,55988,66,2.2,17,90.12
70,49650,75,0.2,15,51.35
18,83453,45,0.4,24,69.29
18,33173,87,1.5,7,23.52
64,49075,74,8.5,11,68.88
51,50706,67,3.5,10,205.64
49,36051,69,6.1,9,27.62
65,100688,3,1.4,5,163.76
42,42993,38,0.1,15,51.32
57,19305,77,11.0,9,131.81
62,40908,42,0.1,6,63.72
70,56925,83,8.8,14,52.45
18,28678,40,1.4,10,83.07
33,30068,50,0.0,13,234.23
56,35321,35,3.5,10,72.48
22,102001,24,11.8,19,96.95
39,36596,88,10.1,10,35.09
46,115551,17,0.5,12,359.63
20,33895,40,0.6,10,117.73
29,59576,74,2.5,13,59.93
43,37505,66,3.0,7,47.13
33,77068,44,4.0,10,176.53
68,25060,23,0.6,18,26.38
54,76551,6,9.6,12,10.0
39,52487,66,3.1,12,59.55
46,33389,21,5.6,14,227.69
31,44367,35,2.3,10,368.55
45,123045,29,1.6,11,48.0
22,53247,7,11.3,14,57.53
64,32156,93,2.6,9,101.84
66,23793,53,6.0,15,39.76
47,66386,37,9.2,11,101.46
63,55133,23,3.4,12,49.28
69,74385,97,2.4,9,183.76
22,20387,8,0.0,14,130.01
29,24261,76,0.1,11,144.35
33,97550,48,0.7,13,42.68
43,59802,10,0.6,22,550.66
43,67510,79,0.9,17,97.58
65,27512,24,1.1,11,73.46
38,27211,90,1.3,11,21.91
56,88854,47,1.6,13,48.59
53,91402,53,0.3,14,62.63
50,25514,39,0.1,11,21.22
47,22751,67,3.4,12,38.44
54,45928,66,2.3,12,44.75
40,30345,6,1.8,14,58.39
27,29968,21,3.0,10,10.0
22,23136,73,5.3,13,46.42
53,37009,74,1.7,9,34.72
51,24518,36,3.1,7,53.25
69,25406,3,9.2,14,189.11
48,58631,88,5.5,16,640.9
27,47423,86,1.7,11,123.23
36,65573,78,3.1,11,12.41
49,18225,42,0.6,17,36.07
18,49312,45,2.5,16,111.63
22,170311,44,11.9,9,97.51
62,39208,91,2.2,11,178.54
21,80406,33,7.9,11,48.58
33,79985,60,1.6,5,35.3
41,82381,86,15.0,15,447.16
33,54176,93,2.6,14,58.58
19,68847,83,0.1,7,16.12
66,74563,83,2.7,11,320.59
45,71773,70,1.0,11,10.0
49,25073,83,0.1,10,10.0
44,17598,77,5.2,9,137.45
37,19299,26,1.0,7,162.85
41,41685,86,4.8,18,89.73
29,70007,21,1.0,18,11.44
67,25269,100,0.6,10,50.87
52,85338,2,10.9,14,39.1
50,36265,47,1.3,18,28.65
50,36473,30,2.8,14,297.22
68,29683,27,2.8,8,15.55
60,15821,71,2.5,12,79.78
54,56251,20,7.4,9,228.8
29,136981,50,3.4,11,86.29
20,47211,95,1.6,8,242.1
18,16149,23,5.9,14,107.39
50,78292,13,0.6,13,91.4
57,18492,81,2.4,17,84.79
27,23731,4,9.0,4,113.99
60,42488,14,2.9,5,34.38
61,52770,20,5.1,11,11.45
46,26763,13,3.2,8,171.55
30,41506,3,5.5,10,220.1
29,75289,90,8.7,11,73.88
48,81740,90,1.0,19,28.27
63,103867,82,0.6,7,10.0
19,154145,96,2.0,12,60.52
68,79692,78,3.6,9,10.82
67,43043,47,0.8,18,10.0
52,82091,3,0.0,15,53.26
40,64862,1,1.3,7,21.83
34,66424,90,10.4,13,82.63
43,54520,24,3.6,14,45.1
25,28360,35,1.5,7,26.37
46,26453,14,0.6,18,10.0
43,46245,67,1.3,13,19.62
27,53602,13,0.6,12,20.5
43,32608,47,0.3,10,12.55
51,63196,50,7.1,12,36.79
68,170836,78,15.0,12,13.78
58,17212,85,0.5,10,44.86
24,69518,26,0.2,9,72.86
21,47118,3,1.2,13,20.26
70,64240,51,1.9,8,90.97
67,37856,40,0.7,16,10.66
62,44907,68,1.1,18,14.37
28,52981,36,0.7,9,47.66
46,40905,51,4.5,11,124.52
53,19686,1,3.7,10,154.61
42,42601,33,3.0,9,377.99
38,20955,7,1.5,14,34.75
53,72541,52,7.2,7,46.85
27,16005,11,10.5,10,15.81
54,90870,27,0.6,12,12.13
26,63432,14,0.8,7,71.83
41,63578,86,2.2,20,21.52
52,15000,80,0.3,10,239.57
66,40248,46,1.7,7,10.0
52,97942,76,2.6,13,97.87
65,35912,10,2.2,12,16.33
53,25672,24,1.2,15,20.4
35,33456,61,2.3,9,104.26
66,47053,18,9.6,8,24.26
56,29412,86,0.7,12,29.4
49,102774,9,3.2,14,20.6
41,47155,17,0.1,16,465.0
40,35124,58,0.2,16,26.02
49,22453,13,2.4,8,58.08
54,65556,50,0.3,12,42.85
29,64666,6,0.1,8,71.21
66,30475,85,0.6,12,26.11
30,15000,51,2.5,16,42.91
40,62721,36,3.6,11,87.6
42,43823,71,0.7,13,19.38
52,59972,100,3.3,12,201.78
58,158626,25,0.6,17,226.46
47,48237,11,2.9,13,113.05
34,36015,44,1.6,10,59.37
66,24627,14,3.2,12,10.0
37,40641,29,15.0,8,90.84
65,53978,74,8.3,10,34.14
42,50614,50,0.0,10,40.63
39,137871,5,6.5,14,10.0
30,66134,72,0.2,12,98.72
36,45212,69,9.2,14,10.0
66,32082,88,1.0,12,62.94
53,57526,57,1.4,16,161.68
29,28446,26,0.3,20,31.09
58,54605,6,0.4,15,234.92
36,65673,16,3.9,10,22.28
29,43050,60,8.7,8,112.23
26,33584,100,2.8,16,11.41
24,15000,12,3.8,8,188.17
45,97372,75,4.3,8,156.21
31,62441,3,0.9,14,95.78
48,63358,63,0.1,4,34.06
69,19210,64,0.0,11,10.15
36,112184,62,1.3,18,34.17
64,37081,6,0.8,13,206.93
33,41221,19,0.2,14,63.81
70,25807,18,0.6,13,10.0
22,16778,80,0.4,20,14.16
52,98165,87,7.4,12,245.62
29,106081,43,0.5,10,98.05
42,44386,73,2.3,15,12.42
69,32609,3,2.7,10,10.0
38,39095,72,2.4,17,25.79
53,39744,38,0.3,16,10.0
70,23862,68,1.2,9,45.29
40,41136,76,0.2,11,1034.79
33,53737,44,1.5,6,10.0
56,90300,95,0.6,12,43.67
62,49441,89,2.5,13,263.57
70,19037,80,3.5,16,134.14
59,60604,63,2.3,15,45.67
56,42042,42,1.7,8,45.8
31,111551,64,1.5,8,13.64
48,115574,54,5.5,6,39.6
22,118027,78,0.7,10,73.12
52,34998,77,4.0,14,205.64
40,161767,71,4.3,10,25.94
46,60510,76,1.6,20,43.48
60,130070,37,1.1,15,17.48
28,36258,4,1.9,10,71.55
35,40980,2,0.3,14,139.85
64,57781,99,0.1,15,116.23
29,53697,44,0.4,10,13.41
26,104077,67,0.6,13,65.12
27,42647,68,2.1,17,24.22
61,98594,76,5.7,11,183.69
34,76064,83,0.8,11,44.99
55,43129,74,8.2,7,10.0
24,72606,62,9.3,10,41.94
63,36902,1,9.6,14,94.65
30,200000,17,5.5,13,73.17
57,15000,16,1.4,15,29.54
59,73406,9,0.2,8,27.05
26,17004,53,2.5,12,16.69
67,42813,73,2.5,13,34.0
44,46566,59,5.7,12,19.55
19,121125,9,15.0,12,174.88
22,32360,12,2.1,10,18.52
46,107452,41,1.3,8,63.23
54,24166,15,0.6,18,58.27
55,109974,66,0.0,17,169.83
36,36878,75,2.1,12,201.79
25,51228,11,2.4,11,125.86
65,40061,8,5.2,19,83.39
62,105811,55,2.1,10,15.51
18,94149,96,7.4,11,15.14
39,63965,6,3.0,11,19.79
69,24560,53,5.5,12,134.6
34,31919,20,0.5,8,59.62
24,26445,39,5.8,9,154.84
42,15000,99,3.4,18,181.88
62,104484,72,0.6,8,22.85
21,40267,34,0.6,11,56.74
53,40010,57,7.8,11,53.75
23,120290,19,0.1,13,36.84
48,36842,71,1.9,6,28.74
36,29605,31,1.1,9,226.26
61,42836,82,3.3,10,58.11
56,24844,40,5.5,14,55.47
44,60271,14,1.3,16,20.84
27,39175,100,1.7,17,122.76
43,36157,81,12.0,11,16.34
36,34325,37,4.6,7,94.24
56,45994,44,6.8,10,97.39
20,51538,9,1.7,8,33.28
62,35882,58,0.8,10,79.93
30,39527,20,1.6,10,68.22
67,46680,92,3.8,9,52.08
45,43938,50,0.3,23,55.45
37,49943,20,0.9,12,58.8
45,32662,36,0.1,16,63.81
25,89568,27,1.7,11,58.69
58,51953,72,5.3,11,14.52
56,36231,32,0.1,8,45.48
18,60272,1,3.4,13,75.03
20,46881,17,8.1,10,61.36
30,17321,9,0.8,12,171.49
45,60148,84,3.5,14,114.9
66,26590,45,11.1,16,19.21
42,85875,96,9.8,9,44.7
50,42401,66,0.8,17,37.58
55,78279,32,0.3,11,54.31
70,33586,45,0.5,13,54.4
23,51121,9,3.6,18,113.73
61,101330,30,3.9,15,67.54
62,41713,84,3.4,10,239.05
49,34389,38,1.2,12,72.91
62,72622,60,0.6,10,20.15
64,71782,1,2.6,18,31.16
38,35268,5,2.0,7,112.68
33,15000,63,3.9,13,10.0
38,33995,99,1.7,13,10.86
28,73601,36,1.2,17,55.3
54,30791,65,1.0,18,170.9
53,48700,78,0.7,14,262.03
52,33041,73,0.9,15,42.08
36,15378,94,0.3,10,195.0
37,32686,24,1.3,8,59.54
35,73414,4,0.1,10,10.0
64,15000,78,0.6,11,54.07
58,57028,89,4.1,6,25.98
66,24061,68,1.2,16,164.33
31,70619,25,3.3,15,52.94
32,75251,74,3.8,13,11.78
48,44215,99,2.6,10,10.0
18,44276,7,9.6,14,53.24
70,30217,13,0.1,15,10.0
20,21865,68,4.0,13,29.32
33,135788,43,9.6,15,72.04
40,29171,57,5.9,8,15.36
28,125577,36,0.6,10,179.97
29,29269,14,1.2,14,227.97
27,67178,82,0.6,9,16.12
49,24768,72,2.8,12,38.18
33,67106,96,3.7,17,180.12
25,40321,27,1.1,14,54.51
55,40639,37,2.3,5,10.24
29,70686,87,3.5,15,45.97
41,36994,71,1.6,13,19.62
45,20808,76,5.8,15,206.4
70,77403,25,4.4,10,112.97
25,24648,67,0.2,8,37.47
45,66830,90,2.9,8,64.75
53,87886,4,0.8,14,11.36
43,39132,100,2.4,11,22.1
25,99649,79,9.4,18,352.11
67,65451,96,6.3,11,58.22
45,32289,93,1.6,8,166.68
45,113647,74,1.0,11,72.13
54,24710,85,0.8,12,264.31
58,39103,16,2.3,13,10.0
53,43313,19,0.4,10,43.56
44,70483,29,2.4,14,392.97
34,95727,51,0.0,12,171.99
26,92196,18,1.2,11,267.86
50,56063,58,0.7,17,54.16
70,41433,44,10.6,23,28.66
37,16389,16,3.9,13,15.92
30,22281,65,1.3,12,14.64
45,141491,2,0.3,14,143.81
65,16290,56,2.2,9,101.07
46,30616,79,0.7,14,50.41
30,97417,28,2.3,16,100.47
63,55593,65,5.4,6,64.78
52,85547,5,2.9,11,173.24
23,67893,22,3.0,16,171.27
35,118391,100,2.3,5,15.19
68,58527,13,7.9,4,75.82
22,72989,65,8.1,14,10.0
64,31743,16,2.2,14,64.05
42,69689,86,1.1,9,112.75
