age,annual_income,spending_score,membership_years,purchase_frequency,last_purchase_amount,cluster,pca1,pca2
61,25078,71,1.5,11,52.26,4,-0.2674575002211898,0.18637582555504334
25,52039,90,5.2,9,27.94,4,-1.7616975088053444,0.88970155884865
41,18108,71,1.8,7,234.85,4,-1.4706407164076631,-0.1663719127966836
28,15000,7,2.8,9,67.89,1,-1.1760768964267343,-1.909717871488183
68,67487,72,6.8,17,27.31,2,0.9615214965078822,1.3237295093782664
34,91985,80,6.0,11,97.0,2,-0.5978424131110989,1.4267034079249235
25,37046,67,6.6,18,175.12,2,0.005133987139892174,-0.16796297697373377
52,32831,10,0.9,11,16.29,1,0.15160023330673655,-1.3703966489228103
52,89618,71,0.1,10,42.93,4,0.31179683350409904,0.9613114727658351
50,24653,85,0.9,9,40.61,4,-0.9730763842569369,0.34222754755190365
22,21633,53,1.0,20,93.95,1,0.8503436615011697,-1.4148884448408279
59,74950,95,7.2,9,116.56,2,-0.8944576730771984,2.153728458086381
56,49287,87,3.1,10,28.17,4,-0.6161416532938085,1.0790144355589137
58,92867,57,0.3,17,10.0,3,1.9463627242082633,0.5444805210909447
45,15000,91,0.4,5,188.32,4,-1.8553429867028153,0.2926833288405141
24,21154,86,0.5,13,14.24,4,-0.7914762727143171,-0.33995522593630134
26,49444,27,3.0,12,75.6,1,-0.35756434452011077,-1.009321193672858
25,62981,54,4.0,16,46.6,1,0.22924085280126977,-0.2018946757032689
29,81486,4,5.9,16,66.35,1,0.744378510718304,-0.858232900961169
51,54441,88,8.5,14,396.03,2,-0.16803505866179655,1.3463813075824869
50,54111,23,0.7,7,2000.0,0,1.4112251213158624,-1.3514557233783688
65,38807,48,1.1,9,10.0,4,-0.21107121727685635,-0.024611978430599375
40,127330,83,0.8,10,177.8,3,0.4708163611046605,1.6607587431035091
41,25290,42,1.3,9,45.26,1,-0.8698982767218548,-0.8087568242165767
54,60804,3,7.4,11,191.99,2,-0.005650023124381688,-0.46937521914309216
52,27100,91,2.6,5,172.21,4,-1.823443344132352,0.8382199027356
61,67566,3,4.0,15,296.4,1,1.5513435417629815,-0.7694921286077098
57,26312,28,2.0,16,76.86,1,0.9648391379529974,-1.0560777733456335
39,76595,63,0.1,22,18.77,4,2.293764198060071,-0.12793723332135412
44,52431,81,0.2,12,166.2,4,0.08347761844013157,0.35080580140050394
52,139634,31,2.3,10,62.9,3,1.0225407648995095,1.009766836405119
18,41414,10,3.8,13,41.24,1,-0.43536035642156246,-1.6375169988937643
52,63258,49,0.7,12,30.83,1,0.46718489727781326,-0.00505592637995884
54,30705,86,3.8,11,182.66,4,-0.6258695854985596,0.6955708367710214
64,41244,94,5.0,19,373.92,4,1.3126943063247063,0.9769512568783308
31,52231,21,1.6,10,13.01,1,-0.45254794771973955,-1.0598414150008293
20,19607,100,4.1,15,115.16,4,-0.9504462356080594,0.1477071697278204
18,20940,53,1.6,6,34.92,4,-2.181311606227324,-0.8747601361709905
22,70257,87,3.4,12,10.0,4,-0.7727347906060104,0.765915043509801
43,44906,76,4.3,20,65.19,4,1.0137515177639893,0.230608604738023
31,34346,89,14.5,14,20.09,2,-1.9729228393007772,1.4307536646261445
56,31502,54,1.3,9,10.0,4,-0.5802975305465712,-0.13784667223098865
44,32238,57,1.6,12,21.37,4,-0.2915366066504113,-0.3584791710573798
26,52445,20,0.5,10,15.91,1,-0.4195815198013985,-1.2813268895199175
32,64024,49,0.7,12,25.13,1,0.01805744715076792,-0.34869179276722967
32,15000,7,3.5,8,11.12,1,-1.4248788127093364,-1.7083360537674595
43,114427,29,7.5,10,33.98,2,-0.14290012755656795,0.9280289833025624
59,109646,48,1.5,10,23.2,3,0.7213544871600956,0.9996544283765554
30,15000,93,0.6,19,85.69,4,0.4682386611084295,-0.41036296309056636
68,94047,13,1.0,8,111.3,1,0.750432604567125,0.06012738993385385
49,92330,3,1.8,7,74.6,1,0.04534270321369701,-0.4166397154801542
56,49033,2,1.0,12,41.16,1,0.7249052077972433,-1.2701943374887599
66,22509,16,0.8,5,39.85,1,-0.8769302935334373,-0.9272248854393028
69,90141,94,4.0,17,20.0,4,1.428814781933404,1.9581624581142236
49,42415,6,0.0,11,20.58,1,0.350571215833469,-1.4588640700234066
21,68140,45,2.3,13,127.02,1,-0.04159364745164457,-0.49234638885712745
47,185631,71,4.7,8,10.0,3,0.4358790935156582,2.9605639895426825
54,57016,5,0.9,7,49.56,1,-0.22330597367026325,-0.9255869073696519
40,28278,56,2.8,11,37.03,4,-0.754743568657221,-0.364651605572966
56,40077,71,3.3,13,112.05,4,0.051299876320782895,0.418107562338009
62,30525,98,3.2,11,10.0,4,-0.6366235842785035,1.1295343684226602
32,63582,32,1.8,8,55.42,1,-0.7563956291461984,-0.512812804633597
60,30223,49,1.3,11,82.4,4,0.0041740775195505545,-0.3115664710399962
46,36911,13,5.4,15,10.0,1,0.295095210921884,-1.0414222666970685
53,22682,30,4.3,13,15.04,1,-0.12603402093016497,-0.7683647152608081
30,45285,25,1.2,14,48.9,1,0.2879668907463526,-1.3003427913102708
49,54505,85,0.3,13,101.19,4,0.3167967053619246,0.5656033221451722
24,15000,60,0.2,13,67.97,4,-0.5746058179388083,-1.116403885985341
68,57282,59,0.3,11,106.97,4,0.5954736286063188,0.3974629791196021
39,47694,85,2.6,11,14.95,4,-0.7580969926990099,0.6170489685150649
45,30977,28,0.2,11,10.0,1,-0.0958308557479207,-1.1585107850327383
19,165574,58,1.2,15,60.43,3,1.521494514998743,1.1842913321836683
59,87123,20,4.2,5,12.49,1,-0.6800412354147564,0.43015097281474585
62,25391,34,1.0,9,19.33,1,-0.3175376896588742,-0.6448589058969074
70,81059,5,4.3,11,167.12,1,0.9498522357324759,-0.1114045372380844
23,103435,82,4.1,12,68.51,3,-0.31495763004107397,1.2431630074432682
45,53061,60,0.8,16,27.61,4,0.8762800859143304,-0.1714422372110803
45,60892,43,3.9,11,23.63,1,-0.26735866427596056,0.048667635970928755
61,60054,57,4.1,12,115.02,4,0.23724672752217624,0.6073016786542436
61,15000,57,1.5,12,70.41,4,-0.06669457481836219,-0.3585631403483741
37,43821,75,0.7,11,12.71,4,-0.5458634049748068,0.08819969161453338
47,42474,54,2.2,12,10.0,4,-0.1524191945142625,-0.1488898373830442
28,115623,81,7.6,14,522.26,2,0.37741947700320455,1.609091072028093
45,59888,45,3.1,15,12.59,1,0.5906078114821433,-0.14970309622910255
42,41004,86,0.6,11,102.85,4,-0.45713516906039914,0.3548080663521817
56,46440,37,3.4,14,334.57,1,0.8064021919794646,-0.4120437239191147
50,90583,84,1.7,10,65.18,4,0.0033845536120510767,1.4069453275828414
18,43881,48,2.7,14,26.56,1,-0.3880573679617659,-0.823688231378523
44,32243,54,4.0,13,10.0,4,-0.3681005593035341,-0.2248649806529643
69,41546,48,2.2,12,10.0,4,0.38232785605307473,0.08516648787025684
30,86199,6,5.0,17,85.8,1,1.1388581033914675,-0.8525008803981458
58,66019,34,3.8,13,311.43,1,0.8546512462894297,-0.04768351652084108
20,50340,63,2.9,9,33.97,4,-1.3979003921301951,-0.11168616247671749
56,54990,78,0.5,12,28.03,4,0.24257074102975232,0.6153995047838119
23,35036,48,5.4,10,126.09,2,-1.4183193433081827,-0.4877867103381569
25,43635,23,8.2,12,23.97,2,-1.1001124858350149,-0.6769039247245743
44,32925,84,0.4,11,75.9,4,-0.5007755227667184,0.202800447748137
26,41074,13,2.0,16,57.41,1,0.5512595238419757,-1.7295023789713684
54,109941,47,0.9,12,33.4,3,1.1024182162537683,0.7495800566354549
50,25675,44,4.2,14,53.59,1,-0.01803625394815053,-0.49894348136915667
68,32427,32,3.8,12,452.95,1,0.6050448990485079,-0.4690317739841011
59,23096,26,0.5,15,112.78,1,1.0006641614264786,-1.2450308781169535
61,20281,53,6.3,12,202.55,2,-0.41949282085857365,0.06133272713131517
41,43823,14,0.6,11,18.13,1,0.04857311270667424,-1.3253062364023553
32,33841,52,4.8,16,203.39,1,0.0867608332834194,-0.5697612226940912
49,141070,36,1.8,16,117.55,3,2.2472484869075613,0.7976938812176793
49,41369,8,1.2,8,10.0,1,-0.43440552519569753,-1.1873037564957003
41,106259,40,0.5,7,104.35,3,-0.06768508799021238,0.4156435226511128
58,87623,86,0.6,17,29.49,4,1.6307842740215732,1.1836174499361198
69,43244,22,3.3,11,10.0,1,0.27831170842572917,-0.36669146248166856
66,173873,16,2.4,13,63.8,3,2.4857611356322438,1.3405693254115445
66,57590,91,0.4,9,104.26,4,-0.11619204994276887,1.2276676577918435
69,121516,60,0.4,13,65.49,3,1.7780106037887617,1.4169144629949673
29,113318,60,0.2,10,47.9,3,0.17320288274067908,0.671888911253137
56,62867,10,4.1,16,36.72,1,1.2598190987361633,-0.6976891433503726
19,76932,25,3.7,11,1053.53,0,0.5091361710321867,-0.9958958484497318
20,71285,31,0.2,11,13.21,1,-0.16913187082735912,-0.8888804064920732
66,24672,21,2.5,7,155.63,1,-0.5823743339450254,-0.7216787032034666
54,50735,91,0.3,12,55.62,4,0.09004267929640405,0.7951061051703925
66,93390,81,7.0,9,19.58,2,-0.4582701006467849,2.25231087727451
34,122481,33,7.1,6,51.52,3,-1.0116346390207993,1.1005465261820433
66,31812,31,3.6,7,10.26,1,-0.8440780677345963,-0.20174674352327215
19,67325,90,7.8,11,26.72,2,-1.6173994948692096,1.2108620900988774
19,53665,21,5.0,7,51.61,1,-1.6801588665412213,-0.8094961818423316
45,45673,36,5.3,11,10.0,1,-0.5878994431364603,-0.21896428663686193
40,60694,65,2.5,12,100.25,4,-0.1155176404136766,0.2800305258929439
54,55870,4,1.1,9,17.18,1,0.11505199189134725,-1.013341435536679
49,67835,68,0.7,11,10.0,4,0.08576961327593488,0.519771470832572
50,116428,90,1.2,14,14.93,3,1.0979623972896506,1.7799748967204456
18,78470,4,3.0,15,743.33,0,1.2595872878092007,-1.6060576579072245
36,59062,9,0.6,10,10.0,1,-0.03851570875501048,-1.2497235453905315
19,150057,30,0.9,12,92.14,3,1.0130231432043713,0.3335673546471652
70,95411,45,1.9,12,22.15,3,1.1641105730076045,0.8592041612747278
61,46377,4,0.8,11,35.87,1,0.6072689857046554,-1.1543906688516945
43,23617,69,2.7,11,112.7,4,-0.7647907046707202,-0.10973561247064793
49,27100,23,7.7,10,106.25,2,-1.0276379654777854,-0.5155263055301444
23,85814,16,4.1,14,24.12,1,0.34408734318801304,-0.6938893944036464
49,33584,22,3.3,5,10.7,1,-1.4988378805634401,-0.6479615505794146
21,26773,72,2.6,14,115.19,4,-0.6321252625564671,-0.5073793043461386
28,31105,48,2.0,13,105.94,1,-0.36345799015740166,-0.9102846834668628
34,32453,62,0.6,11,38.79,4,-0.6180149683170864,-0.48128408614571344
55,81665,97,6.8,10,92.79,4,-0.6898518024875413,2.1681268279630905
41,44620,60,0.9,14,31.98,4,0.26965412410544604,-0.29263951451821435
22,21516,80,0.3,10,20.24,4,-1.3550031538362295,-0.4212080207053409
69,49942,5,4.2,14,54.86,1,1.0345301409581065,-0.7122673954614187
51,56014,80,0.6,14,101.78,4,0.5858036425174771,0.4960367099220671
23,36768,7,1.4,9,79.13,1,-0.83181607011453,-1.794810926059758
39,98079,51,0.1,8,100.58,3,-0.060252857859057256,0.437103772908555
28,38079,65,0.4,9,21.92,4,-1.0986963200387345,-0.36260886532113146
65,95320,9,0.6,14,364.4,1,2.224206877454208,-0.4353844796087535
33,70127,82,0.2,17,36.2,4,0.9274729072938253,0.3165833340017093
50,85473,45,3.2,10,47.34,3,0.05086088782614169,0.5400934619136222
26,25358,47,5.4,11,11.22,2,-1.3764370714739813,-0.6094039419948838
23,51999,67,1.4,9,43.27,4,-1.1505376578290538,-0.08849883112914683
33,47491,24,6.2,13,103.41,2,-0.3592131698136019,-0.7161503646350075
46,20885,92,0.7,14,136.32,4,-0.050189105047777266,0.13064065845682177
20,95133,10,1.2,17,355.79,1,1.713529763691044,-1.272390857714818
37,30018,73,0.5,4,101.93,4,-1.997171215394911,0.03607984188458403
53,34004,77,2.9,13,76.12,4,-0.12840602371323304,0.3852267450891169
36,26689,48,1.6,12,31.96,1,-0.4617105510725831,-0.8118726101752156
43,74660,35,2.9,10,24.68,1,-0.15168583620314197,-0.02163507751799736
20,19622,54,4.3,5,174.91,4,-2.5519029370341073,-0.5786856379869638
36,71020,87,2.4,14,170.94,4,0.23077805836523685,0.7917135829053099
37,91739,81,3.0,13,14.99,4,0.1425496750216789,1.153213443511147
49,67663,71,8.2,7,130.02,2,-1.5308961287991334,1.4508144988318652
24,75175,16,1.1,11,119.16,1,0.0843406590519361,-1.0662727134798045
69,77321,53,1.3,8,14.35,4,0.11097851964175533,0.8419465466028301
58,27732,40,3.8,15,104.43,1,0.5190050902966613,-0.5169019921962381
50,115941,100,2.8,8,15.5,3,-0.38180263756039173,2.4055278924774224
57,37195,20,0.6,15,10.0,1,1.0718241694264856,-1.1517239156843537
56,47106,88,1.4,7,45.05,4,-1.0309862407049595,1.0075780858859662
35,40151,69,1.9,10,74.39,4,-0.8757618260442218,-0.015315128266447806
57,65836,45,1.6,8,47.56,4,-0.24798525538737662,0.2676525740831624
18,35496,6,0.6,13,1703.65,0,1.511190039954908,-2.7651813178064244
28,51029,92,7.7,10,86.02,2,-1.7681454098360527,1.1657970697136915
45,23360,69,4.3,7,65.14,4,-1.7625801724046812,0.25436825965385185
42,98597,49,2.0,7,91.42,3,-0.40812478563795584,0.6831556722136494
67,73309,39,3.4,8,32.15,1,-0.11029293020065836,0.607525407431433
40,41136,2,6.8,14,166.56,1,0.08250360994326755,-1.2258851378703917
48,36993,39,0.4,16,84.2,1,1.009633301877996,-0.9433789019452324
47,72169,21,0.9,8,79.69,1,-0.0869885751282551,-0.4714831671027391
59,32068,40,2.3,15,25.82,1,0.7022694450457625,-0.5506596684894071
52,52850,82,4.8,11,10.0,4,-0.6440839898728469,1.0821392475213882
24,98404,54,0.1,12,29.91,3,0.31252479705167563,0.11788231883378074
33,30129,12,12.4,14,76.64,2,-1.059259777547576,-0.6918258917803211
43,61154,81,1.8,8,32.02,4,-0.9513147433247837,0.8371833352079352
65,59244,37,1.3,13,77.48,1,0.9791297927664918,-0.12226623557460985
69,46239,38,1.0,14,41.31,1,1.0974325754740006,-0.29019372608424665
66,36233,15,0.6,8,91.53,1,-0.019262973209738302,-0.8865358489713092
19,101608,7,4.7,20,16.91,3,1.6484600712680875,-0.898786293303488
18,34250,78,9.3,6,68.82,2,-3.107846132580385,0.7010018392426643
65,16527,50,1.6,16,25.3,1,0.844477435059446,-0.5593477422023088
29,71992,65,9.1,16,10.0,2,-0.3039125905231937,0.8041630784768868
22,23842,67,5.2,18,44.78,2,-0.1880491469519308,-0.5252110305576269
54,74245,44,2.0,11,345.01,1,0.6385187992535891,0.13854768954674565
49,109200,31,3.4,16,10.0,3,1.5835582157511061,0.36636270267666726
26,71528,43,1.7,8,63.01,1,-0.8593557160013744,-0.24007580550925287
58,93232,77,2.5,13,142.18,4,0.8526421967539759,1.359270938352162
52,164724,48,0.2,11,862.67,0,2.43241331157686,1.2771574904041112
36,87557,82,3.6,12,30.22,4,-0.199398488685181,1.18554376085076
65,59775,81,0.2,12,25.57,4,0.5175779434599888,0.8964930702787742
33,130661,81,5.1,10,13.46,3,-0.3071555748762361,2.032120068501849
20,140486,61,5.2,12,214.57,3,0.26530780321090597,1.3321184878125236
37,141671,75,0.8,14,19.28,3,1.2974248782785265,1.5478354208173528
41,36487,84,1.2,9,35.0,4,-1.059780981788709,0.3787254985927287
50,21754,10,2.0,15,10.0,1,0.6268324602052594,-1.6257171327075615
41,35174,29,2.7,9,157.71,1,-0.7006784254993194,-0.8657292090839855
69,74770,48,1.0,13,219.18,4,1.353110379149614,0.3812405655968527
28,53932,98,2.7,7,150.65,4,-1.7134862558908246,0.9483322748028378
66,43308,81,1.1,15,10.0,4,0.8070507068301924,0.6305431576317835
25,68616,62,0.2,10,113.13,4,-0.44083451533832896,-0.09188241986704924
53,20282,13,0.0,15,10.0,1,0.8936201617975994,-1.7234906399979317
55,53353,44,0.3,11,58.54,1,0.3235248700789062,-0.24251484291450026
57,95901,47,4.7,13,69.83,3,0.7678240056414617,0.9068211002908925
37,68158,64,9.8,12,79.22,2,-0.9820166496063281,1.0608028380440626
52,74242,91,1.7,20,103.71,4,1.8235443590438185,0.9493365139317297
65,127825,53,2.2,8,54.07,3,0.5943155150892767,1.65506218588922
42,47113,90,0.5,8,10.0,4,-1.0891784013213732,0.6895696939394462
52,33128,92,2.4,10,103.77,4,-0.7954080937601761,0.7711071962609818
42,100078,77,0.5,10,61.38,4,0.140209699958995,1.1280435790389463
46,98979,76,2.8,19,18.48,3,1.7075138551283502,1.056460602802966
35,68526,44,8.1,10,10.0,2,-1.1250889728851483,0.4805251513637803
63,44523,28,0.7,14,346.55,1,1.3499591861236724,-0.8096925245974521
35,49061,2,4.3,16,239.26,1,0.8426448229540717,-1.5430150644524814
19,22786,57,0.1,14,127.38,4,-0.2951095945577899,-1.2242483620623068
52,95584,57,1.4,5,24.25,3,-0.6764083532283988,1.0491252957332444
33,93581,34,0.4,21,10.0,3,2.3608365526219424,-0.5915613047823876
58,22314,87,1.3,11,136.68,4,-0.3927290738248888,0.42347389846896283
53,82502,58,0.6,12,84.78,4,0.7277366250950841,0.508559303663362
50,62471,52,1.4,9,34.83,4,-0.2933656235673814,0.20351762567407977
21,26550,29,1.6,7,210.56,1,-1.4807014582883458,-1.4144338307363216
50,23775,35,1.1,11,151.05,1,-0.1027781785604769,-0.9774521143508672
31,61334,75,3.2,16,67.45,4,0.2934962006787506,0.2984019308342016
38,38614,48,7.5,15,56.94,2,-0.3519054535007786,-0.11914045075982485
65,146088,33,1.5,5,58.04,3,0.47457287882392835,1.5090328474992067
37,86817,75,0.6,10,123.46,4,-0.07856821114914493,0.764769054592198
25,65134,73,0.9,9,19.51,4,-0.948009542800721,0.26139149042698084
24,67093,78,5.8,13,91.03,2,-0.7074037056279675,0.7054327233213533
20,108936,9,2.5,13,18.09,3,0.6140744822767816,-0.6655338577056402
34,81463,48,1.8,9,271.47,4,-0.201877770870557,0.07725621435549108
50,66161,67,0.5,13,103.39,4,0.6096923416207894,0.354809168589574
65,27223,93,1.8,11,23.91,4,-0.3884152322396513,0.8641906077382099
29,200000,83,1.0,19,60.14,3,2.8127212638330468,2.3442213178354314
68,25288,36,8.6,15,19.6,2,0.08502766610198885,0.0385764797133059
39,40638,96,6.5,11,331.93,4,-1.1009238865908302,1.0428882885789466
39,18163,71,0.3,11,382.78,4,-0.39067180693774073,-0.5608691243816863
63,67729,92,2.2,11,125.9,4,0.14111932913017922,1.4556034703379757
47,53673,44,0.8,14,353.54,1,0.9710616909817233,-0.5556698791740979
55,77587,82,1.6,10,65.51,4,-0.020735983605500236,1.2297640204728162
55,17267,60,6.3,8,136.49,2,-1.5143011015797097,0.25367760416781365
62,95582,63,2.2,8,237.38,3,0.21203102586331155,1.2582988973775924
68,30198,5,1.2,14,54.22,1,1.12155663851288,-1.3468169275000306
25,44828,87,0.7,17,59.46,4,0.34552889032930423,-0.06980056480960604
44,85728,86,4.8,9,167.4,4,-0.6864034209099444,1.5813398507724192
44,57340,90,2.9,12,118.6,4,-0.2975788131463354,0.9348983865632381
51,59824,76,1.9,13,22.05,4,0.23223422159041485,0.6588728569261709
38,79182,40,0.7,11,10.0,1,0.20444978551148102,-0.17150065888057803
